Ref,Val,Package,PosX,PosY,Rot,Side
"10kohm1","R_Small","R_0805_2012Metric",85.012500,-93.000000,0.000000,top
"C1","100uF","C_Elec_6.3x5.4",94.250000,-106.537500,90.000000,top
"C2","470uF","C_Elec_10x10.2",127.750000,-96.650000,90.000000,top
"Cf1","1nF","C_0603_1608Metric",128.450000,-107.000000,180.000000,top
"D1","550mV","D_3220_8050Metric",103.250000,-101.937500,90.000000,top
"J1","Servo_R","PinHeader_1x03_P2.00mm_Vertical",123.750000,-78.000000,0.000000,top
"J2","Servo_L","PinHeader_1x03_P2.00mm_Vertical",116.500000,-78.000000,0.000000,top
"J3","Conn_02x03_Top_Bottom","PinHeader_2x03_P2.54mm_Vertical",91.600000,-87.000000,-90.000000,top
"J4","Actuator_L","PinHeader_1x02_P2.00mm_Vertical",76.400000,-107.800000,90.000000,top
"J5","Actuator_R","PinHeader_1x02_P2.00mm_Vertical",85.100000,-107.800000,-90.000000,top
"J6","RPi_GPIO","RPI_Hat_B+",101.600000,-68.662000,0.000000,top
"J7","LinearPotL","PinHeader_1x03_P2.00mm_Vertical",80.000000,-77.000000,0.000000,top
"J8","12V_In","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",78.500000,-116.250000,0.000000,top
"J9","RPi_Terminal","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",90.750000,-116.217500,0.000000,top
"J10","LinearPotR","PinHeader_1x03_P2.00mm_Vertical",85.750000,-77.000000,0.000000,top
"L1","82uH","L_Bourns_SRR1260",114.500000,-96.000000,90.000000,top
"R3","500Ω","R_0805_2012Metric",105.800000,-84.337500,-90.000000,top
"R4","500Ω","R_0805_2012Metric",90.400000,-75.312500,-90.000000,top
"R6","500Ω","R_0805_2012Metric",93.400000,-75.312500,-90.000000,top
"R7","500Ω","R_0805_2012Metric",107.750000,-77.000000,180.000000,top
"Rf1","1k","R_0805_2012Metric",128.337500,-112.750000,180.000000,top
"Rf2","3.83k","R_0805_2012Metric",128.337500,-110.000000,180.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H4.3mm",96.500000,-87.000000,0.000000,top
"U1","LM2596T-ADJ/LF02","TO170P470X1016X2092-5P",116.001225,-115.903600,-90.000000,top
"U3","ATtiny85-20P","DIP-8_W7.62mm",103.555000,-82.060000,180.000000,top
"U4","DRV8848PWP","IC_DRV8848PWP",79.500000,-96.800000,180.000000,top
