"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R7,R4,R3,R6,R5";"R_0805_2012Metric";5;"500Ω";;;
2;"J2";"PinHeader_1x03_P2.00mm_Vertical";1;"Servo_L";;;
3;"Cf1";"C_0603_1608Metric";1;"1nF";;;
4;"U1";"TO170P470X1016X2092-5P";1;"LM2596T-ADJ/LF02";;;
5;"TP4";"TestPoint_Plated_Hole_D2.0mm";1;"5V";;;
6;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Top_Bottom";;;
7;"10kohm1";"R_0805_2012Metric";1;"R_Small";;;
8;"L1";"L_Bourns_SRR1260";1;"82uH";;;
9;"J9";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"RPi_Terminal";;;
10;"U3";"DIP-8_W7.62mm";1;"ATtiny85-20P";;;
11;"TP8";"TestPoint_Plated_Hole_D2.0mm";1;"SCL";;;
12;"Rf2";"R_0805_2012Metric";1;"3.83k";;;
13;"SW1";"SW_PUSH_6mm_H4.3mm";1;"SW_Push";;;
14;"TP2";"TestPoint_Plated_Hole_D2.0mm";1;"GND";;;
15;"J6";"RPI_Hat_B+";1;"RPi_GPIO";;;
16;"C1";"C_Elec_6.3x5.4";1;"100uF";;;
17;"J1";"PinHeader_1x03_P2.00mm_Vertical";1;"Servo_R";;;
18;"U4";"IC_DRV8848PWP";1;"DRV8848PWP";;;
19;"J8";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"12V_In";;;
20;"J10";"PinHeader_1x03_P2.00mm_Vertical";1;"LinearPotR";;;
21;"Rf1";"R_0805_2012Metric";1;"1k";;;
22;"TP1";"TestPoint_Plated_Hole_D2.0mm";1;"12V";;;
23;"TP3";"TestPoint_Plated_Hole_D2.0mm";1;"6V";;;
24;"TP6";"TestPoint_Plated_Hole_D2.0mm";1;"PWM_L";;;
25;"J4";"PinHeader_1x02_P2.00mm_Vertical";1;"Actuator_L";;;
26;"TP5";"TestPoint_Plated_Hole_D2.0mm";1;"PWM_R";;;
27;"D1";"D_3220_8050Metric";1;"550mV";;;
28;"TP7";"TestPoint_Plated_Hole_D2.0mm";1;"SDA";;;
29;"J7";"PinHeader_1x03_P2.00mm_Vertical";1;"LinearPotL";;;
30;"C2";"C_Elec_10x10.2";1;"470uF";;;
31;"J5";"PinHeader_1x02_P2.00mm_Vertical";1;"Actuator_R";;;
32;"0.1uF1";"C_0805_2012Metric";1;"C3";;;
33;"2.2uF1";"C_1210_3225Metric";1;"C1";;;
34;"1.5ohms1,1.5ohms2";"R_1210_3225Metric";2;"Raisen";;;
35;"10uF1";"C_1206_3216Metric";1;"C2";;;
36;"C3";"C_0805_2012Metric";1;"100nF";;;
