Designator,Footprint,Quantity,Value,LCSC Part #
0.1UF1,0805,1,C3,
"1.5OHMS1, 1.5OHMS2",1210,2,Raisen,
10KOHM1,0805,1,R_Small,
10UF1,1206,1,C2,
2.2UF1,1210,1,C1,
C1,C_Elec_6.3x5.4,1,100uF,
C2,C_Elec_10x10.2,1,470uF,
C3,0805,1,100nF,
CF1,0603,1,1nF,
D1,3220,1,550mV,
J1,PinHeader_1x03_P2.00mm_Vertical,1,Servo_R,
J10,PinHeader_1x03_P2.00mm_Vertical,1,LinearPotR,
J2,PinHeader_1x03_P2.00mm_Vertical,1,Servo_L,
J3,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Top_Bottom,
J4,PinHeader_1x02_P2.00mm_Vertical,1,Actuator_L,
J5,PinHeader_1x02_P2.00mm_Vertical,1,Actuator_R,
J6,RPI_Hat_B+,1,RPi_GPIO,
J7,PinHeader_1x03_P2.00mm_Vertical,1,LinearPotL,
J8,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,12V_In,
J9,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,RPi_Terminal,
L1,L_Bourns_SRR1260,1,82uH,
"R3, R4, R5, R6, R7",0805,5,500Ω,
RF1,0805,1,1k,
RF2,0805,1,3.83k,
SW1,SW_PUSH_6mm_H4.3mm,1,SW_Push,
TP1,TestPoint_Plated_Hole_D2.0mm,1,12V,
TP2,TestPoint_Plated_Hole_D2.0mm,1,GND,
TP3,TestPoint_Plated_Hole_D2.0mm,1,6V,
TP4,TestPoint_Plated_Hole_D2.0mm,1,5V,
TP5,TestPoint_Plated_Hole_D2.0mm,1,PWM_R,
TP6,TestPoint_Plated_Hole_D2.0mm,1,PWM_L,
TP7,TestPoint_Plated_Hole_D2.0mm,1,SDA,
TP8,TestPoint_Plated_Hole_D2.0mm,1,SCL,
U1,TO170P470X1016X2092-5P,1,LM2596T-ADJ/LF02,
U3,DIP-8_W7.62mm,1,ATtiny85-20P,
U4,IC_DRV8848PWP,1,DRV8848PWP,
