Designator,Mid X,Mid Y,Rotation,Layer
0.1UF1,75.5,-88.45,270.0,bottom
1.5OHMS1,80.0375,-103.0,180.0,bottom
1.5OHMS2,73.5,-103.0,180.0,bottom
10KOHM1,85.0125,-93.0,0.0,top
10UF1,78.5,-88.975,270.0,bottom
2.2UF1,71.5,-88.475,90.0,bottom
C1,94.25,-106.5375,270.0,top
C2,127.75,-96.65,270.0,top
C3,92.3,-82.0,0.0,bottom
CF1,128.45,-107.0,180.0,top
D1,103.25,-101.9375,90.0,top
J1,123.75,-80.0,0.0,top
J10,85.75,-79.0,0.0,top
J2,116.5,-80.0,0.0,top
J3,89.06,-88.27,270.0,top
J4,77.4,-107.8,90.0,top
J5,84.1,-107.8,270.0,top
J6,101.63,-68.77,0.0,top
J7,80.0,-79.0,0.0,top
J8,81.0,-116.25,0.0,top
J9,93.25,-116.2175,0.0,top
L1,114.5,-96.0,90.0,top
R3,105.8,-84.3375,270.0,top
R4,90.4,-75.3125,270.0,top
R5,107.8875,-80.6,0.0,bottom
R6,93.4,-75.3125,270.0,top
R7,107.75,-77.0,180.0,top
RF1,128.3375,-112.75,180.0,top
RF2,128.3375,-110.0,180.0,top
SW1,99.75,-89.25,0.0,top
U1,105.765025,-112.5,270.0,top
U3,99.745,-78.25,180.0,top
U4,79.5,-96.8,180.0,top
